timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:12.150, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 0 MiB, 81050 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:17.220, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 3550 MiB, 77500 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:22.272, 0, NVIDIA A100-SXM4-80GB, 4 %, 0 %, 81920 MiB, 10090 MiB, 70960 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:27.345, 0, NVIDIA A100-SXM4-80GB, 4 %, 0 %, 81920 MiB, 14094 MiB, 66956 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:32.396, 0, NVIDIA A100-SXM4-80GB, 100 %, 65 %, 81920 MiB, 52390 MiB, 28660 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:37.471, 0, NVIDIA A100-SXM4-80GB, 97 %, 52 %, 81920 MiB, 52390 MiB, 28660 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:42.520, 0, NVIDIA A100-SXM4-80GB, 98 %, 52 %, 81920 MiB, 52390 MiB, 28660 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:47.572, 0, NVIDIA A100-SXM4-80GB, 97 %, 52 %, 81920 MiB, 52390 MiB, 28660 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:52.618, 0, NVIDIA A100-SXM4-80GB, 98 %, 52 %, 81920 MiB, 52390 MiB, 28660 MiB

timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2024/11/09 12:08:57.672, 0, NVIDIA A100-SXM4-80GB, 97 %, 52 %, 81920 MiB, 52390 MiB, 28660 MiB

